scenario,pathway,portable_mapping_key,exchange_type,provider_or_flow_name,provider_location,biosphere_categories,flow_unit,method_slug,impact_category,impact_unit,factor_unit,include_in_lcia,factor_value,factor_source,factor_reference,factor_notes
s_c1,BC1,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilogram,True,,,,
s_c1,BC1,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilogram,True,,,,
s_c1,BC1,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilogram,True,,,,
s_c1,BC1,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/kilogram,True,,,,
s_c1,BC1,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/kilogram,True,,,,
s_c1,BC1,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/kilogram,True,,,,
s_c1,BC1,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",US,,kilowatt hour,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilowatt hour,True,,,,
s_c1,BC1,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",US,,kilowatt hour,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilowatt hour,True,,,,
s_c1,BC1,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",US,,kilowatt hour,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilowatt hour,True,,,,
s_c1,BC1,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",US,,kilowatt hour,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/kilowatt hour,True,,,,
s_c1,BC1,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",US,,kilowatt hour,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/kilowatt hour,True,,,,
s_c1,BC1,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",US,,kilowatt hour,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/kilowatt hour,True,,,,
s_c1,BC1,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",RoW,,cubic meter,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/cubic meter,True,,,,
s_c1,BC1,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",RoW,,cubic meter,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/cubic meter,True,,,,
s_c1,BC1,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",RoW,,cubic meter,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/cubic meter,True,,,,
s_c1,BC1,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",RoW,,cubic meter,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/cubic meter,True,,,,
s_c1,BC1,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",RoW,,cubic meter,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/cubic meter,True,,,,
s_c1,BC1,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",RoW,,cubic meter,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/cubic meter,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, birch, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, birch, sustainable forest management",RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, birch, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, birch, sustainable forest management",RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, birch, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, birch, sustainable forest management",RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, birch, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, birch, sustainable forest management",RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, birch, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, birch, sustainable forest management",RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, birch, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, birch, sustainable forest management",RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, eucalyptus ssp., planted forest management::RoW::kilogram",technosphere,"hardwood forestry, eucalyptus ssp., planted forest management",RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, eucalyptus ssp., planted forest management::RoW::kilogram",technosphere,"hardwood forestry, eucalyptus ssp., planted forest management",RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, eucalyptus ssp., planted forest management::RoW::kilogram",technosphere,"hardwood forestry, eucalyptus ssp., planted forest management",RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, eucalyptus ssp., planted forest management::RoW::kilogram",technosphere,"hardwood forestry, eucalyptus ssp., planted forest management",RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, eucalyptus ssp., planted forest management::RoW::kilogram",technosphere,"hardwood forestry, eucalyptus ssp., planted forest management",RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, eucalyptus ssp., planted forest management::RoW::kilogram",technosphere,"hardwood forestry, eucalyptus ssp., planted forest management",RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, oak, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, oak, sustainable forest management",RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, oak, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, oak, sustainable forest management",RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, oak, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, oak, sustainable forest management",RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, oak, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, oak, sustainable forest management",RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,particulate matter formation,PM2.5-Eq,PM2.5-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, oak, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, oak, sustainable forest management",RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,ecotoxicity: freshwater,CTUe,CTUe/kilogram,True,,,,
s_c1,BC1,"technosphere::hardwood forestry, oak, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, oak, sustainable forest management",RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,photochemical oxidant formation,kg O3-Eq,kg O3-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::softwood forestry, pine, sustainable forest management::RoW::kilogram",technosphere,"softwood forestry, pine, sustainable forest management",RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,climate change,kg CO2-Eq,kg CO2-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::softwood forestry, pine, sustainable forest management::RoW::kilogram",technosphere,"softwood forestry, pine, sustainable forest management",RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,eutrophication,kg N-Eq,kg N-Eq/kilogram,True,,,,
s_c1,BC1,"technosphere::softwood forestry, pine, sustainable forest management::RoW::kilogram",technosphere,"softwood forestry, pine, sustainable forest management",RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,acidification,kg SO2-Eq,kg SO2-Eq/kilogram,True,,,,
