carrier,region,impact_category,source_unit,factor_unit,source,reference,notes,factor_value
electricity,US-ASCC,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-ASCC,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-ASCC,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-ASCC,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-ASCC,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-ASCC,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
electricity,US-HICC,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-HICC,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-HICC,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-HICC,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-HICC,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-HICC,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
electricity,US-MRO,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-MRO,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-MRO,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-MRO,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-MRO,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-MRO,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
electricity,US-NPCC,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-NPCC,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-NPCC,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-NPCC,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-NPCC,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-NPCC,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
electricity,US-RFC,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-RFC,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-RFC,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-RFC,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-RFC,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-RFC,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
electricity,US-SERC,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-SERC,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-SERC,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-SERC,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-SERC,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-SERC,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
electricity,US-TRE,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-TRE,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-TRE,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-TRE,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-TRE,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-TRE,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
electricity,US-WECC,climate change,kWh,kg CO2-Eq/kWh,,,,
electricity,US-WECC,acidification,kWh,kg SO2-Eq/kWh,,,,
electricity,US-WECC,eutrophication,kWh,kg N-Eq/kWh,,,,
electricity,US-WECC,ecotoxicity: freshwater,kWh,CTUe/kWh,,,,
electricity,US-WECC,particulate matter formation,kWh,PM2.5-Eq/kWh,,,,
electricity,US-WECC,photochemical oxidant formation,kWh,kg O3-Eq/kWh,,,,
