carrier,region,impact_category,factor_value,source_unit,factor_unit,source,reference,notes
diesel,DFO_1,climate change,0.020611495644103,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_1,acidification,2.4816567481645267e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_1,eutrophication,1.5477340236337313e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_1,ecotoxicity: freshwater,0.005842391481062,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_1,particulate matter formation,1.6475776217160718e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_1,photochemical oxidant formation,0.0006177507441755,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_2,climate change,0.0160944191608982,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_2,acidification,1.567203572174752e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_2,eutrophication,1.0386610668638145e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_2,ecotoxicity: freshwater,0.0074778239914424,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
diesel,DFO_2,particulate matter formation,1.1497349707631748e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
