scenario,pathway,EQUIPMENT TITLE,CAPACITY,MATERIAL,QUOTE INFO,NUM REQD,"$ (Total quote price, don't multiple equip number)",Year of Quote,Purch Cost in Base Yr,Scaling Stream,Scaling Value,Units,Scaling Factor,Install Factor,New Value,Size Ratio,Scaled Purchase Cost,Purch Cost in Proj year,cost,process_area,area_name,ref
s_c1,BC1,Feed handling and Drying,,,,,,2025.0,,,,,,,,,,,544042.1467063737,A100,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c1,BC1,Slow Pyrolysis,,,,,,2025.0,,,,,,,,,,,72699897.40706947,A200,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c1,BC1,Graphitization and post-treating,,,,,,2025.0,,,,,,,,,,,55615998.273335755,A600,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c1,BC1,Wastewater treatment,,,,,,2025.0,,,,,,,,,,,3468036.899648434,A900,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c1,BC1,Cooling water & Other Utilities,,,,,,2025.0,,,,,,,,,,,3909102.4409374874,A1000,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Feed handling and Drying,,,,,,2025.0,,,,,,,,,,,544042.1467063737,A100,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Slow Pyrolysis,,,,,,2025.0,,,,,,,,,,,72699897.40706947,A200,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Condensation,,,,,,2025.0,,,,,,,,,,,8354753.26988723,A200,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Two-stage Hydrotreating,,,,,,2025.0,,,,,,,,,,,26159778.76896326,A400,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Oil Fractionation,,,,,,2025.0,,,,,,,,,,,2103799.4173942115,A400,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Hydrogen production,,,,,,2025.0,,,,,,,,,,,69350090.23723693,A700,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Graphitization and post-treating,,,,,,2025.0,,,,,,,,,,,55615998.273335755,A600,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Wastewater treatment and Steam generation,,,,,,2025.0,,,,,,,,,,,34633786.05122359,A900,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_c2,BC2,Cooling water & Other Utilities,,,,,,2025.0,,,,,,,,,,,6589760.994311982,A1000,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o1,BO1,Feed handling and Drying,,,,,,2025.0,,,,,,,,,,,544042.1467063737,A100,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o1,BO1,Fast Pyrolysis,,,,,,2025.0,,,,,,,,,,,173836580.7817391,A200,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o1,BO1,Delayed Coking,,,,,,2025.0,,,,,,,,,,,46119017.90070957,A400,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o1,BO1,Graphitization and post-treating,,,,,,2025.0,,,,,,,,,,,55615998.273335755,A600,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o1,BO1,Wastewater treatment,,,,,,2025.0,,,,,,,,,,,19707521.926348124,A900,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o1,BO1,Cooling water plant and other utilities,,,,,,2025.0,,,,,,,,,,,35851727.45434535,A1000,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o1,BO1,Steam system and power generation,,,,,,2025.0,,,,,,,,,,,25309348.01801646,A800,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Feed handling and Drying,,,,,,2025.0,,,,,,,,,,,544042.1467063737,A100,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Fast Pyrolysis,,,,,,2025.0,,,,,,,,,,,173836580.7817391,A200,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Delayed Coking,,,,,,2025.0,,,,,,,,,,,46119017.90070957,A400,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Oil phase hydrotreating,,,,,,2025.0,,,,,,,,,,,33048562.14238512,A500,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Hydrocracking,,,,,,2025.0,,,,,,,,,,,4958791.84215818,A500,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Hydrogen production,,,,,,2025.0,,,,,,,,,,,46179418.900221184,A700,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Graphitization and post-treating,,,,,,2025.0,,,,,,,,,,,55615998.273335755,A600,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Wastewater treatment,,,,,,2025.0,,,,,,,,,,,23714554.284195684,A900,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
s_o2,BO2,Cooling water plant and other utilities,,,,,,2025.0,,,,,,,,,,,41376287.345361516,A1000,,"Gonzalez-Aguirre et al. (2025), Bioresource Technology 438, 133156; Dutta et al. (2015), NREL/TP process design and economics; Jones et al. (2013), fast-pyrolysis/hydrotreating design case; see bundled source_workbooks/ and SI Tables S8/S14."
