scenario,pathway,position,base_salary_usd,quote_year,n_required,labour_burden_pct,now_salary
s_c1,BC1,Plant Manager,164452,2016,2,0.9,228429.69352708056
s_c1,BC1,Plant Engineer,78310,2016,2,0.9,108775.38309114928
s_c1,BC1,Maintenance Supr,63767,2016,2,0.9,88574.63738441216
s_c1,BC1,Maintenance Tech,44749,2016,15,0.9,62157.9570673712
s_c1,BC1,Lab Manager,62648,2016,2,0.9,87020.30647291942
s_c1,BC1,Lab Technician,44749,2016,4,0.9,62157.9570673712
s_c1,BC1,Shift Supervisor,53699,2016,10,0.9,74589.82628797887
s_c1,BC1,Shift Operators,44749,2016,30,0.9,62157.9570673712
s_c1,BC1,Yard Employees,31324,2016,15,0.9,43510.15323645971
s_c1,BC1,General manager,101891,2016,1,0.9,141530.2331571995
s_c1,BC1,Clerks & Secretaries,36000,2016,5,0.9,50005.28401585205
s_c2,BC2,Plant Manager,164452,2016,2,0.9,228429.69352708056
s_c2,BC2,Plant Engineer,78310,2016,2,0.9,108775.38309114928
s_c2,BC2,Maintenance Supr,63767,2016,2,0.9,88574.63738441216
s_c2,BC2,Maintenance Tech,44749,2016,15,0.9,62157.9570673712
s_c2,BC2,Lab Manager,62648,2016,2,0.9,87020.30647291942
s_c2,BC2,Lab Technician,44749,2016,4,0.9,62157.9570673712
s_c2,BC2,Shift Supervisor,53699,2016,10,0.9,74589.82628797887
s_c2,BC2,Shift Operators,44749,2016,30,0.9,62157.9570673712
s_c2,BC2,Yard Employees,31324,2016,15,0.9,43510.15323645971
s_c2,BC2,General manager,101891,2016,1,0.9,141530.2331571995
s_c2,BC2,Clerks & Secretaries,36000,2016,5,0.9,50005.28401585205
s_o1,BO1,Plant Manager,164452,2016,2,0.9,228429.69352708056
s_o1,BO1,Plant Engineer,78310,2016,2,0.9,108775.38309114928
s_o1,BO1,Maintenance Supr,63767,2016,2,0.9,88574.63738441216
s_o1,BO1,Maintenance Tech,44749,2016,15,0.9,62157.9570673712
s_o1,BO1,Lab Manager,62648,2016,2,0.9,87020.30647291942
s_o1,BO1,Lab Technician,44749,2016,4,0.9,62157.9570673712
s_o1,BO1,Shift Supervisor,53699,2016,10,0.9,74589.82628797887
s_o1,BO1,Shift Operators,44749,2016,30,0.9,62157.9570673712
s_o1,BO1,Yard Employees,31324,2016,15,0.9,43510.15323645971
s_o1,BO1,General manager,101891,2016,1,0.9,141530.2331571995
s_o1,BO1,Clerks & Secretaries,36000,2016,5,0.9,50005.28401585205
s_o2,BO2,Plant Manager,164452,2016,2,0.9,228429.69352708056
s_o2,BO2,Plant Engineer,78310,2016,2,0.9,108775.38309114928
s_o2,BO2,Maintenance Supr,63767,2016,2,0.9,88574.63738441216
s_o2,BO2,Maintenance Tech,44749,2016,15,0.9,62157.9570673712
s_o2,BO2,Lab Manager,62648,2016,2,0.9,87020.30647291942
s_o2,BO2,Lab Technician,44749,2016,4,0.9,62157.9570673712
s_o2,BO2,Shift Supervisor,53699,2016,10,0.9,74589.82628797887
s_o2,BO2,Shift Operators,44749,2016,30,0.9,62157.9570673712
s_o2,BO2,Yard Employees,31324,2016,15,0.9,43510.15323645971
s_o2,BO2,General manager,101891,2016,1,0.9,141530.2331571995
s_o2,BO2,Clerks & Secretaries,36000,2016,5,0.9,50005.28401585205
