basin,Climate_change,Acidification,Eutrophication,Freshwater_ecotoxicity,Human_health_particulate_matter,Smog_formation
Anadarko,0.017507672001897526,9.892762904489962e-05,6.1041038059785855e-06,0.06629234631954653,2.3750501218844105e-06,0.003323740026088494
Appalachian,0.014449583530338723,8.606058929873673e-05,6.357408440564546e-06,0.02703566281764553,1.818397469871221e-06,0.0029439777392324474
Arkla,0.014536172585691154,8.862821628384045e-05,5.477154418954357e-06,0.038251794787985946,1.9480292753332933e-06,0.0030093325661286253
Arkoma,0.018356668878114848,9.038015333630342e-05,5.609410022050739e-06,0.011348101247501971,1.7201639233717695e-06,0.003151505493173224
East Texas,0.015387922124050997,8.562058126055626e-05,5.3089449504767134e-06,0.010486941626626719,1.6381170766142824e-06,0.0029890079361734063
Fort Worth,0.016033037960630034,9.299802693170107e-05,5.778304365706187e-06,0.0068799183756461805,1.7184151761090836e-06,0.003276516908069544
Green River,0.014214942954632676,8.217135903512689e-05,5.0871845764278695e-06,0.014813014854325377,1.6270789593473094e-06,0.0028474284585754055
Gulf,0.025420820610287262,0.00021125051847620987,1.3215825512550022e-05,0.05648350667608453,4.013074253059986e-06,0.007334119188963649
Permian,0.014213433133723875,8.870923371085763e-05,5.454795713642192e-06,0.07203773804481314,2.268885064155575e-06,0.0029230348782632223
Piceance,0.018033430073844926,8.566253973352126e-05,5.297424951898556e-06,0.025434088195205696,1.7813805055958524e-06,0.0029668314657354763
San Juan,0.023316208869286117,0.00010832813720391061,6.746542758477042e-06,0.007826043481926125,1.963589718149228e-06,0.003836943102648918
South Oklahoma,0.020910899595257455,0.0001720154882242575,1.0767544793281004e-05,0.017057496444313203,3.0314747483617093e-06,0.006043621607632114
Strawn,0.014239705728374902,8.61087111785762e-05,5.343382122388189e-06,0.006261240002809539,1.6052145820585627e-06,0.0030125929703218564
Uinta,0.016695905556513214,8.44095793251434e-05,5.2238944659246896e-06,0.019604633305224554,1.7069265492684057e-06,0.002920711694916772
