carrier,impact_category,method_name,provider_slug,regional_low_per_MJ,regional_representative_per_MJ,regional_high_per_MJ,impact_unit_per_MJ,provider_low,provider_representative,provider_high,provider_unit,LHV_MJ_per_provider_unit,representative_basis,method_provenance_status,source,ref,note
natural_gas,climate change,IPCC 2021,market_for_natural_gas_high_pressure__US,0.0142134331337238,0.0198171268720055,0.0254208206102872,kg CO2-eq/MJ,0.508840906187312,0.7094531420177969,0.9100653778482816,m3 natural gas,35.8,midrange_of_regenerated_regional_min_max,IPCC_AR6_GWP100_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; IPCC AR6 GWP100,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 14 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
natural_gas,acidification,TRACI v2.1,market_for_natural_gas_high_pressure__US,8.217135903512689e-05,0.0001467109387556,0.0002112505184762,kg SO2-eq/MJ,0.0029417346534575,0.0052522516074527,0.0075627685614479,m3 natural gas,35.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 14 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
natural_gas,eutrophication,TRACI v2.1,market_for_natural_gas_high_pressure__US,5.0871845764278695e-06,9.151505044488946e-06,1.3215825512550022e-05,kg N-eq/MJ,0.0001821212078361,0.0003276238805927,0.0004731265533492,m3 natural gas,35.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 14 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
natural_gas,ecotoxicity: freshwater,TRACI v2.1,market_for_natural_gas_high_pressure__US,0.0062612400028095,0.0391494890238113,0.0720377380448131,CTUe/MJ,0.2241523921005801,1.4015517070524446,2.578951022004309,m3 natural gas,35.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 14 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
natural_gas,particulate matter formation,TRACI v2.1,market_for_natural_gas_high_pressure__US,1.6052145820585629e-06,2.8091444175592747e-06,4.013074253059986e-06,kg PM2.5-eq/MJ,5.746668203769655e-05,0.0001005673701486,0.0001436680582595,m3 natural gas,35.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 14 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
natural_gas,photochemical oxidant formation,TRACI v2.1,market_for_natural_gas_high_pressure__US,0.0028474284585754,0.0050907738237695,0.0073341191889636,kg O3-eq/MJ,0.1019379388169993,0.1822497028909481,0.2625614669648968,m3 natural gas,35.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 14 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
diesel,climate change,IPCC 2021,market_for_diesel__RoW,0.0160944191608982,0.0183529574025006,0.020611495644103,kg CO2-eq/MJ,0.6888411400864429,0.7855065768270255,0.8821720135676083,kg diesel,42.8,midrange_of_regenerated_regional_min_max,IPCC_AR6_GWP100_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; IPCC AR6 GWP100,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 5 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
diesel,acidification,TRACI v2.1,market_for_diesel__RoW,1.567203572174752e-05,2.0244301601696395e-05,2.4816567481645267e-05,kg SO2-eq/MJ,0.0006707631288907,0.0008664561085526,0.0010621490882144,kg diesel,42.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 5 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
diesel,eutrophication,TRACI v2.1,market_for_diesel__RoW,1.0386610668638145e-06,1.2931975452487728e-06,1.5477340236337313e-06,kg N-eq/MJ,4.445469366177126e-05,5.534885493664747e-05,6.62430162115237e-05,kg diesel,42.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 5 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
diesel,ecotoxicity: freshwater,TRACI v2.1,market_for_diesel__RoW,0.005842391481062,0.0083401037483823,0.0108378160157027,CTUe/MJ,0.2500543553894536,0.3569564404307646,0.4638585254720755,kg diesel,42.8,midrange_of_regenerated_regional_min_max,TRACI_2.1_FEDEFL_UUID_REGENERATED_FROM_NETL_ELEMENTARY_FLOWS,NETL-RIC ElectricityLCI raw upstream inventory; TRACI 2.1 via EPA/FLCAC FEDEFL UUID mapping,NETL commit 71a3f6dd20ed36bfcea3ff64b5e27d117ca7adc5; FLCAC commit 48d19af11965994378e9febe0cca2d5822a0776d; reported regeneration route: EPA/FLCAC LCIAformatter with official TRACI 2.1 workbook; fallback validation mirror commit 3903df4302d3656118e94d7247a491c69824acef (not used for reported lciafmt run),"Regenerated from 5 regional inventories. Deterministic value is the midpoint of regional min/max, not a production- or consumption-weighted U.S. average."
