scenario,pathway,flow_key,portable_mapping_key,exchange_type,provider_or_flow_name,provider_or_flow_database,provider_or_flow_code,provider_location,biosphere_categories,flow_unit,method_slug,method,impact_category,impact_unit,reference_unit_impact_factor,reference_factor_parameter,factor_unit,include_in_lcia
s_c1,BC1,technosphere|ei39_cutoff|b613a0e604fce45d4146006a310d2872,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,ei39_cutoff,b613a0e604fce45d4146006a310d2872,RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,IPCC 2021 | climate change | global warming potential (GWP100),climate change,kg CO2-Eq,0.7855065768270255,UF_IPCC_2021__climate_change__global_warming_potential_GWP100__market_for_diesel__RoW,kg CO2-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|b613a0e604fce45d4146006a310d2872,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,ei39_cutoff,b613a0e604fce45d4146006a310d2872,RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,TRACI v2.1 | eutrophication | eutrophication potential,eutrophication,kg N-Eq,5.534885493664747e-05,UF_TRACI_v2_1__eutrophication__eutrophication_potential__market_for_diesel__RoW,kg N-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|b613a0e604fce45d4146006a310d2872,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,ei39_cutoff,b613a0e604fce45d4146006a310d2872,RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,TRACI v2.1 | acidification | acidification potential (AP),acidification,kg SO2-Eq,0.0008664561085526,UF_TRACI_v2_1__acidification__acidification_potential_AP__market_for_diesel__RoW,kg SO2-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|b613a0e604fce45d4146006a310d2872,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,ei39_cutoff,b613a0e604fce45d4146006a310d2872,RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,TRACI v2.1 | particulate matter formation | particulate matter formation potential (PMFP),particulate matter formation,PM2.5-Eq,5.986248947905587e-05,UF_TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP__market_for_diesel__RoW,PM2.5-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|b613a0e604fce45d4146006a310d2872,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,ei39_cutoff,b613a0e604fce45d4146006a310d2872,RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,TRACI v2.1 | ecotoxicity: freshwater | ecotoxicity: freshwater,ecotoxicity: freshwater,CTUe,0.3569564404307646,UF_TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater__market_for_diesel__RoW,CTUe/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|b613a0e604fce45d4146006a310d2872,technosphere::market for diesel::RoW::kilogram,technosphere,market for diesel,ei39_cutoff,b613a0e604fce45d4146006a310d2872,RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,TRACI v2.1 | photochemical oxidant formation | maximum incremental reactivity (MIR),photochemical oxidant formation,kg O3-Eq,0.022312976481666,UF_TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR__market_for_diesel__RoW,kg O3-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|2ba127601085d3c181813d9d3c33b22a,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",ei39_cutoff,2ba127601085d3c181813d9d3c33b22a,RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,IPCC 2021 | climate change | global warming potential (GWP100),climate change,kg CO2-Eq,0.43692686165648165,UF_IPCC_2021__climate_change__global_warming_potential_GWP100__market_for_nitrogen_liquid__RoW,kg CO2-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|2ba127601085d3c181813d9d3c33b22a,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",ei39_cutoff,2ba127601085d3c181813d9d3c33b22a,RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,TRACI v2.1 | eutrophication | eutrophication potential,eutrophication,kg N-Eq,0.0013897182237045207,UF_TRACI_v2_1__eutrophication__eutrophication_potential__market_for_nitrogen_liquid__RoW,kg N-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|2ba127601085d3c181813d9d3c33b22a,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",ei39_cutoff,2ba127601085d3c181813d9d3c33b22a,RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,TRACI v2.1 | acidification | acidification potential (AP),acidification,kg SO2-Eq,0.0018446756620852892,UF_TRACI_v2_1__acidification__acidification_potential_AP__market_for_nitrogen_liquid__RoW,kg SO2-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|2ba127601085d3c181813d9d3c33b22a,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",ei39_cutoff,2ba127601085d3c181813d9d3c33b22a,RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,TRACI v2.1 | particulate matter formation | particulate matter formation potential (PMFP),particulate matter formation,PM2.5-Eq,0.0005971849054450149,UF_TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP__market_for_nitrogen_liquid__RoW,PM2.5-Eq/kilogram,True
