state,scenario,factor,low_level,high_level,low_mean_impact_avg_full_pct,high_mean_impact_avg_full_pct,effect_pct_points
AK,s_c2,social_rate,0.01,0.05,-2.7535189530359663,-0.3297137066455763,2.42380524639039
AK,s_c2,spc,1.05,1.2,-1.8167198107123474,-1.266512848969195,0.5502069617431524
AK,s_c2,damage_scenario,low,high,-2.2541387619046978,-0.8290938977768447,1.425044864127853
AK,s_o2,social_rate,0.01,0.05,-9.534024325739786,-1.9033498656420955,7.630674460097691
AK,s_o2,spc,1.05,1.2,-6.6055767052961,-4.831797486085781,1.7737792192103186
AK,s_o2,damage_scenario,low,high,-5.310027219829928,-6.127346971551952,-0.8173197517220236
AL,s_c2,social_rate,0.01,0.05,-17.777352695347552,-15.372892818948404,2.404459876399148
AL,s_c2,spc,1.05,1.2,-16.85022623801956,-16.3000192762764,0.5502069617431573
AL,s_c2,damage_scenario,low,high,-17.198049409355644,-15.952196104940317,1.245853304415327
AL,s_o2,social_rate,0.01,0.05,-17.783721411863517,-10.1621475639277,7.621573847935817
AL,s_o2,spc,1.05,1.2,-14.859824097500766,-13.086044878290451,1.773779219210315
AL,s_o2,damage_scenario,low,high,-13.477208331584556,-14.468660644206663,-0.9914523126221066
AR,s_c2,social_rate,0.01,0.05,-19.05673478976337,-16.658270649377297,2.398464140386075
AR,s_c2,spc,1.05,1.2,-18.132606200441913,-17.582399238698756,0.5502069617431573
AR,s_c2,damage_scenario,low,high,-18.55297494255453,-17.16203049658614,1.3909444459683904
AR,s_o2,social_rate,0.01,0.05,-18.935037391739165,-11.318262049719237,7.616775342019928
AR,s_o2,spc,1.05,1.2,-16.01353933033437,-14.239760111124033,1.773779219210338
AR,s_o2,damage_scenario,low,high,-14.6889963517306,-15.564303089727801,-0.8753067379972013
AZ,s_c2,social_rate,0.01,0.05,-14.823804458540232,-12.411824499974193,2.4119799585660395
AZ,s_c2,spc,1.05,1.2,-13.892917960128788,-13.342710998385636,0.550206961743152
AZ,s_c2,damage_scenario,low,high,-14.385149008380989,-12.850479950133437,1.5346690582475517
