state,scenario,MSP,electricity_price,feedstock_price
AK,s_c1,4.778875495270004,0.2016,0.0302942756472264
AK,s_c2,4.912524537736474,0.2016,0.0302942756472264
AK,s_o1,6.245625015100144,0.2016,0.0302942756472264
AK,s_o2,5.501414696596164,0.2016,0.0302942756472264
AL,s_c1,4.24477611130613,0.07440000000000001,0.06616907575578397
AL,s_c2,4.316280608981054,0.07440000000000001,0.06616907575578397
AL,s_o1,5.926648725253444,0.07440000000000001,0.06616907575578397
AL,s_o2,5.189855294894012,0.07440000000000001,0.06616907575578397
AR,s_c1,4.173781436869314,0.06280000000000001,0.06497324908549872
AR,s_c2,4.239618761760954,0.06280000000000001,0.06497324908549872
AR,s_o1,5.85793763402481,0.06280000000000001,0.06497324908549872
AR,s_o2,5.121820586546484,0.06280000000000001,0.06497324908549872
AZ,s_c1,4.236376310887159,0.0784,0.059990637959310165
AZ,s_c2,4.309835149213502,0.0784,0.059990637959310165
AZ,s_o1,5.891887823014758,0.0784,0.059990637959310165
AZ,s_o2,5.154861157179083,0.0784,0.059990637959310165
CA,s_c1,4.923008641331048,0.1984,0.06278090018997577
CA,s_c2,5.055093613073533,0.1984,0.06278090018997577
CA,s_o1,6.517723071687938,0.1984,0.06278090018997577
CA,s_o2,5.773699341564953,0.1984,0.06278090018997577
CO,s_c1,4.283519229393777,0.0861,0.060787855739500345
CO,s_c2,4.360739897855089,0.0861,0.060787855739500345
CO,s_o1,5.937528248239944,0.0861,0.060787855739500345
CO,s_o2,5.200052604112498,0.0861,0.060787855739500345
CT,s_c1,4.880126536819718,0.19820000000000002,0.054410113497979
CT,s_c2,5.0121139800371095,0.19820000000000002,0.054410113497979
CT,s_o1,6.442479926275974,0.19820000000000002,0.054410113497979
CT,s_o2,5.698467857926802,0.19820000000000002,0.054410113497979
DC,s_c1,4.510028769755291,0.1336,0.05281567793759866
DC,s_c2,4.610455813158748,0.1336,0.05281567793759866
DC,s_o1,6.1047529392222355,0.1336,0.05281567793759866
DC,s_o2,5.364507623814396,0.1336,0.05281567793759866
DE,s_c1,4.09154406665992,0.0852,0.023318620070562426
DE,s_c2,4.168325852429414,0.0852,0.023318620070562426
DE,s_o1,5.6007017446444065,0.0852,0.023318620070562426
DE,s_o2,4.863278578499116,0.0852,0.023318620070562426
FL,s_c1,4.25821620033997,0.0901,0.05122124237721832
FL,s_c2,4.337391283037671,0.0901,0.05122124237721832
FL,s_o1,5.872717283110185,0.0901,0.05122124237721832
FL,s_o2,5.135008403506496,0.0901,0.05122124237721832
GA,s_c1,4.213076048423284,0.0691,0.0657704668656889
GA,s_c2,4.281991231186417,0.0691,0.0657704668656889
GA,s_o1,5.896565364305997,0.0691,0.0657704668656889
GA,s_o2,5.1600809709525866,0.0691,0.0657704668656889
HI,s_c1,5.574893283734455,0.3177,0.059392724624167545
HI,s_c2,5.7652651808172735,0.3177,0.059392724624167545
HI,s_o1,7.085254799381865,0.3177,0.059392724624167545
HI,s_o2,6.334274821179915,0.3177,0.059392724624167545
IA,s_c1,4.105840961698334,0.061500000000000006,0.05281567793759866
IA,s_c2,4.171043433528402,0.061500000000000006,0.05281567793759866
IA,s_o1,5.743599149606321,0.061500000000000006,0.05281567793759866
IA,s_o2,5.007557903657774,0.061500000000000006,0.05281567793759866
ID,s_c1,4.244902990446897,0.0746,0.06596977131073645
ID,s_c2,4.316505202773701,0.0746,0.06596977131073645
ID,s_o1,5.925882888058574,0.0746,0.06596977131073645
ID,s_o2,5.18907779592533,0.0746,0.06596977131073645
IL,s_c1,4.324174634480367,0.1063,0.04623863125102977
IL,s_c2,4.411264361582842,0.1063,0.04623863125102977
IL,s_o1,5.909672912790418,0.1063,0.04623863125102977
IL,s_o2,5.171019429507943,0.1063,0.04623863125102977
IN,s_c1,4.227997236027568,0.084,0.052018460157408485
IN,s_c2,4.304192136548901,0.084,0.052018460157408485
IN,s_o1,5.849232572458814,0.084,0.052018460157408485
IN,s_o2,5.111879376956396,0.084,0.052018460157408485
KS,s_c1,4.052355608687323,0.0775,0.024115837850752594
KS,s_c2,4.125375529693645,0.0775,0.024115837850752594
KS,s_o1,5.5692025254856095,0.0775,0.024115837850752594
KS,s_o2,4.832228337632088,0.0775,0.024115837850752594
KY,s_c1,4.185415392485595,0.06860000000000001,0.060787855739500345
KY,s_c2,4.254086407653548,0.06860000000000001,0.060787855739500345
KY,s_o1,5.849869561439965,0.06860000000000001,0.060787855739500345
KY,s_o2,5.113414322521085,0.06860000000000001,0.060787855739500345
LA,s_c1,4.181343634309122,0.0661,0.06278090018997577
LA,s_c2,4.248793227149887,0.0661,0.06278090018997577
LA,s_o1,5.855023399480095,0.0661,0.06278090018997577
LA,s_o2,5.118713932733868,0.0661,0.06278090018997577
MA,s_c1,4.799156435483875,0.1889,0.04863028459160027
MA,s_c2,4.926600474192842,0.1889,0.04863028459160027
MA,s_o1,6.344633723585901,0.1889,0.04863028459160027
MA,s_o2,5.6011639277189955,0.1889,0.04863028459160027
MD,s_c1,4.5083469896940045,0.1333,0.05281567793759866
MD,s_c2,4.608627467612435,0.1333,0.05281567793759866
MD,s_o1,6.103250218877092,0.1333,0.05281567793759866
MD,s_o2,5.363022396129972,0.1333,0.05281567793759866
ME,s_c1,4.738605779174604,0.1632,0.0653718579755938
ME,s_c2,4.853493677736532,0.1632,0.0653718579755938
ME,s_o1,6.36438334438243,0.1632,0.0653718579755938
ME,s_o2,5.622412086450391,0.1632,0.0653718579755938
MI,s_c1,4.2684039344016105,0.085,0.05899411573407246
MI,s_c2,4.345087235041231,0.085,0.05899411573407246
MI,s_o1,5.9161094168164015,0.085,0.05899411573407246
MI,s_o2,5.178697912444924,0.085,0.05899411573407246
MN,s_c1,4.329499510074108,0.0904,0.06517255353054627
MN,s_c2,4.408820855259897,0.0904,0.06517255353054627
MN,s_o1,5.997955556536219,0.0904,0.06517255353054627
MN,s_o2,5.260229184271812,0.0904,0.06517255353054627
MO,s_c1,4.194647744314752,0.0761,0.054210809052931457
MO,s_c2,4.26698303944985,0.0761,0.054210809052931457
MO,s_o1,5.829105095044678,0.0761,0.054210809052931457
MO,s_o2,5.092212539607842,0.0761,0.054210809052931457
MS,s_c1,4.233384288299449,0.0729,0.06557116242064136
MS,s_c2,4.304155971534811,0.0729,0.06557116242064136
MS,s_o1,5.913832171252837,0.0729,0.06557116242064136
MS,s_o2,5.177126204196995,0.0729,0.06557116242064136
MT,s_c1,4.153269989717816,0.0673,0.055805244613311794
MT,s_c2,4.221305995997178,0.0673,0.055805244613311794
MT,s_o1,5.799166504320219,0.0673,0.055805244613311794
MT,s_o2,5.0627870669311195,0.0673,0.055805244613311794
NC,s_c1,4.253005055681085,0.0764,0.06557116242064136
NC,s_c2,4.325486669575119,0.0764,0.06557116242064136
NC,s_o1,5.931363908612832,0.0764,0.06557116242064136
NC,s_o2,5.194453860515278,0.0764,0.06557116242064136
ND,s_c1,4.169028780301266,0.07490000000000001,0.050424024597028154
ND,s_c2,4.240777895738281,0.07490000000000001,0.050424024597028154
ND,s_o1,5.789508849256438,0.07490000000000001,0.050424024597028154
ND,s_o2,5.052686264462475,0.07490000000000001,0.050424024597028154
NE,s_c1,4.048590685583075,0.0747,0.0265074911913231
NE,s_c2,4.120242610120127,0.0747,0.0265074911913231
NE,s_o1,5.576388944697195,0.0747,0.0265074911913231
NE,s_o2,4.839578021677044,0.0747,0.0265074911913231
NH,s_c1,4.591849622276211,0.1654,0.03348314676798707
NH,s_c2,4.707813026959782,0.1654,0.03348314676798707
NH,s_o1,6.092579172252389,0.1654,0.03348314676798707
NH,s_o2,5.350479634808415,0.1654,0.03348314676798707
NJ,s_c1,4.447906535284586,0.1305,0.04384697791045927
NJ,s_c2,4.54681926345996,0.1305,0.04384697791045927
NJ,s_o1,6.009680544865666,0.1305,0.04384697791045927
NJ,s_o2,5.269615986951916,0.1305,0.04384697791045927
NM,s_c1,4.2201423549719586,0.0677,0.06876003354140203
NM,s_c2,4.288373500543705,0.0677,0.06876003354140203
NM,s_o1,5.916067430736475,0.0677,0.06876003354140203
NM,s_o2,5.179664669799751,0.0677,0.06876003354140203
NV,s_c1,4.226846223873222,0.0767,0.059990637959310165
NV,s_c2,4.299474524451065,0.0767,0.059990637959310165
NV,s_o1,5.883372407725619,0.0767,0.059990637959310165
NV,s_o2,5.146444866967345,0.0767,0.059990637959310165
NY,s_c1,4.303022217522088,0.0949,0.054808722388074084
NY,s_c2,4.384542270066757,0.0949,0.054808722388074084
NY,s_o1,5.928578522281837,0.0949,0.054808722388074084
NY,s_o2,5.190589760106656,0.0949,0.054808722388074084
OH,s_c1,4.159487067615392,0.0771,0.04603932680598223
OH,s_c2,4.232311091836902,0.0771,0.04603932680598223
OH,s_o1,5.761640481771583,0.0771,0.04603932680598223
OH,s_o2,5.024689617465686,0.0771,0.04603932680598223
OK,s_c1,4.054393252293063,0.0525,0.05261637349255112
OK,s_c2,4.1151987639008105,0.0525,0.05261637349255112
OK,s_o1,5.6967498884937475,0.0525,0.05261637349255112
OK,s_o2,4.961233422366749,0.0525,0.05261637349255112
OR,s_c1,4.2600066597671296,0.0796,0.0633788135251184
OR,s_c2,4.334051686448615,0.0796,0.0633788135251184
OR,s_o1,5.927948767286403,0.0796,0.0633788135251184
OR,s_o2,5.190852130807854,0.0796,0.0633788135251184
PA,s_c1,4.2052226899016505,0.08650000000000001,0.04464419569064944
